soru,s1,s2,s3,s4,answer,Type,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,d1,d2,d3
"Bir yazý yazarken, bir ödev yaparken, yazým (imla) kurallarýna dikkat eder misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.854,0.167,-1.531
Bir hikaye kitabýný hýzlý ve doðru okuyabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.619,1.253,-0.714
Kelimeleri doðru bir biçimde yazabiliyor ve söyleyebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.424,1.946,-0.39
Bir parçayý bir kere okuduktan sonra hemen özetleyebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.009,0.383,-1.57
Yeni duyduðunuz kelimelerin anlamlarýný öðrenmeye çalýþýr mýsýnýz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.868,0.686,-0.695
 Okuduðunuz bir parçada belirten fikirler arsýnda iliþki kurabiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.672,0.989,-1.218
"Bir konuda edindiðiniz bilgileri, kendi sözcüklerinizle baþkalarýna aktarabiliyor musunuz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.312,1.604,-0.283
"Bir konuyu söz ve yazý ile anlatýrken, fikirleri doðru bir sýra ile verebiliyor musunuz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.137,-1.442
 Bir yazýdaki fikir ve ifade hatalarýný kolaylýkla görebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.753,0.765,-1.325
 Akýcý bir üslupla güzel yazý (örneðin bir mektup) yazabilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.976,0.577,-1.148
Okuduðunuz bir parçada anlatýlan fikirleri bulup özetleyebiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,1.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.796,0.742,-1.402
" Çarpým tablosunu, bölme iþlemini kolay öðrenebildiniz mi?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.346,1.782,0.485
"Dört iþlemle akýldan, hýzlý problem çözebilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.904,0.281,-1.673
" Bir matematik probleminin çözüm yolunu öðrendikten sonra, ona benzer problemleri çözebiliyor musunuz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.117,1.542,-0.52
Sizin düzeyinizde bir matematik kitabýný okuyarak bir problemin çözüm yolunu bulabiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,2.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.878,0.645,-1.783
"Boþ zamanlarýnýzda, zevk için matematik problemleri çözmeye çalýþýr mýsýnýz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671,-1.306,-2.546
"Matematik dersinde, özel bir yardým (ders) almadan baþarýlý olabiliyor musunuz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,2.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737,0.154,-2.048
Öðrendiðiniz matematik kurallarýna fen bilgisi derslerindeki problemlere uygulayabiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.798,0.456,-1.255
"Bir problemin, size öðretilen çözüm yollarýndan farklý çözüm yollarýný bulabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.188,-0.269,-1.995
"Sizin düzeyinizde, ama daha önce hiç görmediðiniz bir matematik kitabýný rahatlýkla okuyabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305,-0.003,-1.968
Satranç öðrenmek için çaba sarfediyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.303,0.163,-0.832
Birbirine çok benzeyen iki resim arasýndaki küçük farklarý hemen görebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,4.349,1.329,-0.663
Bir dairenin merkezini doðru bir biçimde tahmin ederek iþaretleyebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.053,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0.539,-1.087
"Ýki çizgi arsýnda çok az bir uzunluk farký olduðunda, bunu kolaylýkla algýlayabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0.942,0,0,0,0,0,0,0,0,0,0,0,0,0,3.883,1.501,-0.12
Bir doðru parçasýnýn kaç santimetre olduðunu doðru tahmin edebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,-0.572,-2.592
Ýlk defa gittiðiniz binada yönünüzü bulabiliyor musunuz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0.766,0,0,0,0,0,0,0,0,0,0,0,0,0,3.095,1.066,-0.399
"Bir defa baþkalarý ile birlikte gittiðiniz bir yeri, ikinci defa yalnýz baþýna gittiðinizde, kolaylýkla bulabilir misiniz?",Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,3.749,1.596,0.04
Geliþigüzel parçalarý ayrýlmýþ bir þeklin veya cismin parçalarýný eski yerlerine kolaylýkla yerleþtirebilir misiniz?,Hiçbir zaman,Ara sýra ,Sýk sýk,Her zaman,NA,radio,0,0,1.207,0,0,0,0,0,0,0,0,0,0,0,0,0,4.521,1.731,-0.585
